configuration,attenuation (dB),packet size (B),mean (Mibps),median (Mibps),std (Mibps),min (Mibps),max (Mibps),q1 (Mibps),q3 (Mibps)
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,117.021,117.021,0.0,117.021,117.021,117.021,117.021
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,105.272,105.272,0.0,105.272,105.272,105.272,105.272
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,107.33,107.33,0.0,107.33,107.33,107.33,107.33
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,129.62,129.62,0.0,129.62,129.62,129.62,129.62
pb-178-tdd-low-latency-sr-per-1.cfg,0,16,119.735,119.735,0.0,119.735,119.735,119.735,119.735
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,104.371,104.371,0.0,104.371,104.371,104.371,104.371
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,123.292,123.292,0.0,123.292,123.292,123.292,123.292
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,111.299,111.299,0.0,111.299,111.299,111.299,111.299
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,100.325,100.325,0.0,100.325,100.325,100.325,100.325
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,107.311,107.311,0.0,107.311,107.311,107.311,107.311
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,117.655,117.655,0.0,117.655,117.655,117.655,117.655
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,134.396,134.396,0.0,134.396,134.396,134.396,134.396
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,126.774,126.774,0.0,126.774,126.774,126.774,126.774
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,124.807,124.807,0.0,124.807,124.807,124.807,124.807
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,104.324,104.324,0.0,104.324,104.324,104.324,104.324
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,106.856,106.856,0.0,106.856,106.856,106.856,106.856
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,131.894,131.894,0.0,131.894,131.894,131.894,131.894
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,100.781,100.781,0.0,100.781,100.781,100.781,100.781
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,131.146,131.146,0.0,131.146,131.146,131.146,131.146
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,124.407,124.407,0.0,124.407,124.407,124.407,124.407
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,100.319,100.319,0.0,100.319,100.319,100.319,100.319
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,128.732,128.732,0.0,128.732,128.732,128.732,128.732
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,130.623,130.623,0.0,130.623,130.623,130.623,130.623
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,104.157,104.157,0.0,104.157,104.157,104.157,104.157
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,111.181,111.181,0.0,111.181,111.181,111.181,111.181
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,107.369,107.369,0.0,107.369,107.369,107.369,107.369
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,114.801,114.801,0.0,114.801,114.801,114.801,114.801
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,107.467,107.467,0.0,107.467,107.467,107.467,107.467
pb-178-tdd-low-latency-sr-per-1.cfg,0,512,107.89,107.89,0.0,107.89,107.89,107.89,107.89
